configuration,Time,CF
dp-encode + dp-train,32.1326,2.438840
dp-encode + dp-train,38.8313,2.219240
dp-encode + dp-train,51.0609,2.064670
dp-encode + dp-train,37.6154,3.212410
dp-encode + dp-train,27.399,7.430880
dp-encode + dp-train,34.1037,2.167130
dp-encode + dp-train,44.221,7.764370
dp-encode + dp-train,69.2694,1.930620
dp-encode + dp-train,47.0648,2.441520
dp-encode + dp-train,101.238,1.856380
dp-encode + dp-train,233.57,2.030580
dp-encode + dp-train,103.035,1.930360
dp-encode + dp-train,43.3068,3.214420
dp-encode + dp-train,34.1129,2.349390
dp-encode + dp-train,36.0246,3.712410
dp-encode + dp-train,36.788,7.283400
dp-encode + dp-train,34.0547,3.507660
dp-encode + dp-train,38.1457,7.281930
dp-encode + dp-train,51.0014,3.817170
dp-encode + dp-train,39.4576,2.519720
dp-encode + dp-train,33.7148,1.604310
dp-encode + dp-train,29.6256,1.179350
dp-encode + dp-train,44.2989,1.744320
dp-encode + dp-train,35.3264,3.581640
dp-encode + dp-train,38.4221,2.233620
dp-encode + dp-train,98.8172,3.160230
dp-encode + dp-train,37.756,1.957060
dp-encode + dp-train,46.5287,1.641240
dp-encode + dp-train,28.3233,6.631610
dp-encode + dp-train,97.0968,2.973830
dp-encode + dp-train,190.921,3.060050
dp-encode + dp-train,46.498,2.218240
dp-encode + dp-train,44.1302,2.610350
dp-encode + dp-train,67.3082,2.235340
dp-encode + dp-train,41.1573,2.554930
dp-encode + dp-train,89.6036,2.898500
dp-encode + dp-train,65.9704,2.859600
dp-encode + dp-train,98.7286,3.175670
dp-encode + dp-train,66.8889,2.235340
dp-encode + dp-train,39.1029,2.519720
dp-encode + dp-train,43.9214,1.714660
dp-encode + dp-train,62.2628,2.238180
dp-encode + dp-train,29.3123,1.179350
dp-encode + dp-train,31.376,2.750510
dp-encode + dp-train,41.2433,2.986320
dp-encode + dp-train,74.5794,3.002610
dp-encode + dp-train,41.2592,3.233330
dp-encode + dp-train,211.507,1.774360
dp-encode + dp-train,51.3596,1.771310
dp-encode + dp-train,100.696,2.223050
dp-encode + dp-train,43.7152,2.759090
dp-encode + dp-train,40.6698,2.866590
dp-encode + dp-train,38.3701,2.775220
dp-encode + dp-train,41.8557,2.428930
dp-encode + dp-train,44.3335,1.507930
dp-encode + dp-train,42.3283,2.422660
dp-encode + dp-train,39.2112,2.229270
dp-encode + dp-train,401.14,1.657450
dp-encode + dp-train,107.643,2.658610
dp-encode + dp-train,56.5707,1.741990
dp-encode + dp-train,37.9679,2.181790
dp-encode + dp-train,379.808,1.766960
dp-encode + dp-train,55.6254,4.413080
dp-encode + dp-train,39.7872,2.352500
dp-encode + dp-train,36.1499,2.277600
dp-encode + dp-train,43.6759,5.197650
dp-encode + dp-train,34.7118,2.408400
dp-encode + dp-train,64.7967,1.800050
dp-encode + dp-train,57.8185,3.167880
dp-encode + dp-train,48.7344,4.761250
dp-encode + dp-train,38.9417,1.652780
dp-encode + dp-train,65.342,2.389140
dp-encode + dp-train,38.9848,1.850180
dp-encode + dp-train,33.5191,2.075530
dp-encode + dp-train,34.0256,2.222250
dp-encode + dp-train,52.3488,1.573590
dp-encode + dp-train,56.635,1.834020
dp-encode + dp-train,55.0329,1.578230
dp-encode + dp-train,50.3753,2.867650
dp-encode + dp-train,56.7264,2.051290
dp-encode + dp-train,36.6578,1.848340
dp-encode + dp-train,35.1803,2.151620
dp-encode + dp-train,57.248,1.597580
dp-encode + dp-train,32.9776,1.966630
dp-encode + dp-train,48.3525,2.068560
dp-encode + dp-train,63.2869,2.720660
dp-encode + dp-train,34.6568,1.843900
dp-encode + dp-train,38.6988,3.247980
dp-encode + dp-train,91.2243,2.452300
dp-encode + dp-train + triples,43.7255,7.709660
dp-encode + dp-train + triples,42.1019,7.878230
dp-encode + dp-train + triples,40.2254,7.291480
dp-encode + dp-train + triples,124.929,3.954840
dp-encode + dp-train + triples,46.7826,1.514960
dp-encode + dp-train + triples,198.973,1.761160
dp-encode + dp-train + triples,62.1502,2.891250
dp-encode + dp-train + triples,47.2299,1.696150
dp-encode + dp-train + triples,48.625,1.444200
dp-encode + dp-train + triples,43.2537,3.249920
dp-encode + dp-train + triples,46.1847,3.566120
dp-encode + dp-train + triples,138.771,1.773310
dp-encode + dp-train + triples,112.896,2.824200
dp-encode + dp-train + triples,59.6423,3.355370
dp-encode + dp-train + triples,54.3173,5.452220
dp-encode + dp-train + triples,49.1241,1.388380
dp-encode + dp-train + triples,48.4394,1.444200
dp-encode + dp-train + triples,115.726,2.850580
dp-encode + dp-train + triples,48.4419,2.515160
dp-encode + dp-train + triples,58.8728,3.650140
dp-encode + dp-train + triples,42.8955,2.078140
dp-encode + dp-train + triples,43.9317,3.117310
dp-encode + dp-train + triples,48.0045,1.388380
dp-encode + dp-train + triples,109.055,2.824200
dp-encode + dp-train + triples,50.1473,4.285010
dp-encode + dp-train + triples,117.104,1.553170
dp-encode + dp-train + triples,137.665,1.773310
dp-encode + dp-train + triples,42.6301,2.128480
dp-encode + dp-train + triples,69.7348,2.337720
dp-encode + dp-train + triples,48.0873,5.427910
dp-encode + dp-train + triples,44.3405,3.117310
dp-encode + dp-train + triples,54.1086,5.452220
dp-encode + dp-train + triples,93.8826,2.541970
dp-encode + dp-train + triples,41.817,2.128480
dp-encode + dp-train + triples,57.7107,3.355370
dp-encode + dp-train + triples,63.8644,2.747120
dp-encode + dp-train + triples,41.4855,5.983090
dp-encode + dp-train + triples,62.7509,1.855430
dp-encode + dp-train + triples,45.8152,3.113490
dp-encode + dp-train + triples,31.785,1.574240
dp-encode + dp-train + triples,30.6787,0.849474
dp-encode + dp-train + triples,44.2505,7.774390
dp-encode + dp-train + triples,73.5728,1.935090
dp-encode + dp-train + triples,48.2077,2.404550
dp-encode + dp-train + triples,33.4958,3.762750
dp-encode + dp-train + triples,36.9235,1.540130
dp-encode + dp-train + triples,40.7883,3.156780
dp-encode + dp-train + triples,40.4564,1.650380
dp-encode + dp-train + triples,32.8106,7.248580
dp-encode + dp-train + triples,36.9,2.447210
dp-encode + dp-train + triples,39.651,2.156790
dp-encode + dp-train + triples,51.2597,2.029930
dp-encode + dp-train + triples,38.6846,3.251920
dp-encode + dp-train + triples,29.8916,7.430880
dp-encode + dp-train + triples,37.9498,2.139180
dp-encode + dp-train + triples,46.2043,7.827000
dp-encode + dp-train + triples,72.548,1.939670
dp-encode + dp-train + triples,50.9317,2.451980
dp-encode + dp-train + triples,105.486,1.793930
dp-encode + dp-train + triples,244.835,2.025940
dp-encode + dp-train + triples,110.839,1.904120
dp-encode + dp-train + triples,47.1641,2.919700
dp-encode + dp-train + triples,33.9903,2.525320
dp-encode + dp-train + triples,39.3128,3.776710
dp-encode + dp-train + triples,38.3436,7.283400
dp-encode + dp-train + triples,35.1269,3.449660
dp-encode + dp-train + triples,38.0888,7.281930
dp-encode + dp-train + triples,54.5094,4.039960
dp-encode + dp-train + triples,44.5143,2.524580
dp-encode + dp-train + triples,40.3165,1.623220
dp-encode + dp-train + triples,30.6723,1.187410
dp-encode + dp-train + triples,50.1114,1.721350
dp-encode + dp-train + triples,35.8577,3.773320
dp-encode + dp-train + triples,43.5659,2.234890
dp-encode + dp-train + triples,97.7642,3.231310
dp-encode + dp-train + triples,42.4244,2.064500
dp-encode + dp-train + triples,52.3115,1.675810
dp-encode + dp-train + triples,29.898,6.795470
dp-encode + dp-train + triples,92.4799,3.095390
dp-encode + dp-train + triples,182.583,3.076250
dp-encode + dp-train + triples,52.6775,2.215500
dp-encode + dp-train + triples,47.4242,2.624630
dp-encode + dp-train + triples,70.7307,2.283930
dp-encode + dp-train + triples,45.1443,2.552200
dp-encode + dp-train + triples,85.6017,3.054130
dp-encode + dp-train + triples,68.9282,2.883370
dp-encode + dp-train + triples,97.315,3.239890
dp-encode + dp-train + triples,70.3413,2.283930
dp-encode + dp-train + triples,44.3839,2.524580
dp-encode + dp-train + triples,50.2425,1.715840
dp-encode + dp-train + triples,65.6036,2.155980
dp-encode + dp-train + triples,30.7299,1.187410
dp-encode + dp-train + triples,35.1045,2.622350
dp-encode + dp-train + triples,42.3142,2.971070
dp-encode + dp-train + triples,74.4052,2.952420
dp-encode + dp-train + triples,43.7045,3.186310
dp-encode + dp-train + triples,230.712,1.784670
dp-encode + dp-train + triples,58.012,1.760640
dp-encode + dp-train + triples,105.477,2.146840
dp-encode + dp-train + triples,45.4256,2.517820
dp-encode + dp-train + triples,42.226,2.930840
dp-encode + dp-train + triples,44.0709,2.746230
dp-encode + dp-train + triples,42.1529,2.369470
